# rank.exe refute -- one row per (target, colour)
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2	wearer=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=21)@1	board=boards/board1.txt
# mined: 1 = the miner found a win, 0 = conceded
# verify: W/L/D for the BOOK's side, replayed through openerBook by the wearer
# blocked_shared: every position on the losing line was owned by an already-won
#   line, so no move could be changed without breaking one. That is the merge
#   conflict a single position-keyed book cannot express.
# audit: 1 = the WRITTEN book won this line replayed on its own. Distinct from
#   `mined`, which only says the line was found while our side was still
#   searching at unbooked plies.
# oob_first: the first of OUR moves the book did not serve, so the fallback brain
#   had to choose (-1 = the book covered the whole line). A line with oob_first
#   >= 0 was carried by the brain, not by the book, whatever its result says.
# v_plies: half-moves in the openerBook verification game. A line that matches
#   `plies` played the same length game the miner recorded.
colour	mined	audit	verify	timed	plies	v_plies	our_moves	oob_first	oob_count	tried_nodes	tried_moves	blocked_shared	opponent
W	1	1	W	0	56	56	28	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=14)@1
B	1	1	W	0	57	57	28	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2.opener(book,book=14)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1
W	1	1	W	0	68	68	34	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=16)@1
B	1	1	W	0	61	61	30	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=16)@1
W	1	1	W	0	64	64	32	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=17)@1
B	1	1	W	0	51	51	25	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=17)@1
W	1	1	W	0	64	64	32	-1	0	1	1	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=18)@1
B	1	1	W	0	51	51	25	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=3,68364898,pool_games,lin,shape=129-1)@1.opener(book,book=18)@1
W	1	1	W	0	54	54	27	-1	0	1	1	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=19)@1
B	1	1	W	0	55	55	27	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=19)@1
W	1	1	W	0	54	54	27	-1	0	1	1	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=20)@1
B	1	1	W	0	55	55	27	-1	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.adv(chip=77,support=-2,control=1,noiseseed=1,racewin=1)@1.opener(book,book=20)@1
W	1	1	W	0	82	82	41	-1	0	11	76	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	81	81	40	-1	0	8	54	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	74	74	37	-1	0	8	54	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	77	77	38	-1	0	9	60	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	78	78	39	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	63	63	31	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	42	42	21	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	69	69	34	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	72	72	36	-1	0	12	82	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	57	57	28	-1	0	8	52	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	82	82	41	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	79	79	39	-1	0	10	67	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	48	48	24	-1	0	7	46	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	73	73	36	-1	0	7	46	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	56	56	28	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=369,612a48a8,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	61	61	30	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=369,612a48a8,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	58	58	29	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=531,748d1c8d,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	51	51	25	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=531,748d1c8d,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	86	86	43	-1	0	10	66	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=387,607b64aa,tdleaf_self,lin,shape=30-1)@1
B	1	1	W	0	59	35	29	11	6	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=387,607b64aa,tdleaf_self,lin,shape=30-1)@1
W	1	1	W	0	40	40	20	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=459,642147d2,tdleaf_self,lin,shape=129-1)@1
B	1	1	W	0	77	49	38	12	12	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=459,642147d2,tdleaf_self,lin,shape=129-1)@1
W	1	1	W	0	70	70	35	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=333,06bdc1f0,tdleaf_self,mlp,shape=30-16-1)@1
B	1	1	W	0	47	47	23	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=333,06bdc1f0,tdleaf_self,mlp,shape=30-16-1)@1
W	1	1	W	0	38	38	19	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=279,409dc0b3,tdleaf_self,mlp,shape=30-16-1)@1
B	1	1	W	0	29	29	14	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=279,409dc0b3,tdleaf_self,mlp,shape=30-16-1)@1
W	1	1	W	0	68	68	34	-1	0	6	36	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=405,111c40c8,tdleaf_self,mlp,shape=129-32-1)@1
B	1	1	W	0	83	83	41	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=405,111c40c8,tdleaf_self,mlp,shape=129-32-1)@1
W	1	1	W	0	32	32	16	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=585,e37f6895,tdleaf_self,mlp,shape=30-32-1)@1
B	1	1	W	0	31	31	15	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=585,e37f6895,tdleaf_self,mlp,shape=30-32-1)@1
W	1	1	W	0	54	54	27	8	2	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=261,52cd70f8,tdleaf_self,mlp,shape=129-32-1)@1
B	1	1	W	0	41	41	20	-1	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=261,52cd70f8,tdleaf_self,mlp,shape=129-32-1)@1
